DATE,COUNTRY,LEAGUE,TYPE,SEASON,HOME_TEAM,AWAY_TEAM,FTR,FTHG,FTAG,HTR,HTHG,HTAG,ETR,ETHG,ETAG,PENR,PENHG,PENAG,H_ST,H_SOG,H_SFG,H_PT,H_COR,H_FL,H_YC,H_RC,A_ST,A_SOG,A_SFG,A_PT,A_COR,A_FL,A_YC,A_RC
2022-08-13,Germany,Bundesliga,LEAGUE,2022/2023,TSG Hoffenheim,VfL Bochum 1848,H,3,2,D,2,2,N/A,N/A,N/A,N/A,N/A,N/A,23,10,13,59,8,14,1,0,12,5,7,41,2,10,1,0
2022-08-13,Germany,Bundesliga,LEAGUE,2022/2023,Hertha BSC,Eintracht Frankfurt,D,1,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,12,5,7,39,4,11,3,0,11,1,10,61,5,11,1,0
2022-08-13,Germany,Bundesliga,LEAGUE,2022/2023,Schalke 04,Borussia Mönchengladbach,D,2,2,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,12,4,8,32,2,12,4,0,15,9,6,68,7,8,2,0
2022-08-13,Germany,Bundesliga,LEAGUE,2022/2023,Bayer 04 Leverkusen,FC Augsburg,A,1,2,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,22,10,12,67,7,7,1,0,7,5,2,33,3,15,6,0
2022-08-13,Germany,Bundesliga,LEAGUE,2022/2023,Werder Bremen,VfB Stuttgart,D,2,2,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,6,3,3,57,2,6,4,0,14,7,7,43,5,10,2,0
2022-08-14,Germany,Bundesliga,LEAGUE,2022/2023,FSV Mainz 05,FC Union Berlin,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,11,5,6,50,4,9,1,0,10,0,10,50,4,14,0,0
2022-08-14,Germany,Bundesliga,LEAGUE,2022/2023,FC Bayern München,VfL Wolfsburg,H,2,0,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,24,12,12,68,8,7,2,0,9,4,5,32,4,10,1,0
2022-08-19,Germany,Bundesliga,LEAGUE,2022/2023,Borussia Mönchengladbach,Hertha BSC,H,1,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,13,7,6,64,5,7,1,0,21,5,16,36,5,11,2,1
2022-08-20,Germany,Bundesliga,LEAGUE,2022/2023,VfL Wolfsburg,Schalke 04,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,19,7,12,72,12,13,1,0,11,2,9,28,4,10,3,0
2022-08-20,Germany,Bundesliga,LEAGUE,2022/2023,Bayer 04 Leverkusen,TSG Hoffenheim,A,0,3,A,0,2,N/A,N/A,N/A,N/A,N/A,N/A,14,3,11,56,3,14,1,0,8,5,3,44,1,17,4,0
2022-08-20,Germany,Bundesliga,LEAGUE,2022/2023,Borussia Dortmund,Werder Bremen,A,2,3,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,7,4,3,49,3,13,4,0,15,7,8,51,5,9,1,0
2022-08-20,Germany,Bundesliga,LEAGUE,2022/2023,VfB Stuttgart,SC Freiburg,A,0,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,19,7,12,60,3,8,4,0,9,3,6,40,1,12,2,0
2022-08-20,Germany,Bundesliga,LEAGUE,2022/2023,FC Union Berlin,RB Leipzig,H,2,1,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,10,2,8,26,1,15,2,0,16,1,15,74,13,8,1,0
2022-08-20,Germany,Bundesliga,LEAGUE,2022/2023,FC Augsburg,FSV Mainz 05,A,1,2,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,6,2,4,51,3,13,2,0,13,6,7,49,3,19,2,0
2022-08-21,Germany,Bundesliga,LEAGUE,2022/2023,VfL Bochum 1848,FC Bayern München,A,0,7,A,0,4,N/A,N/A,N/A,N/A,N/A,N/A,14,7,7,35,5,10,1,0,23,13,10,65,5,6,0,0
2022-08-21,Germany,Bundesliga,LEAGUE,2022/2023,Eintracht Frankfurt,FC Köln,D,1,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,11,3,8,53,5,2,0,0,5,2,3,47,9,0,1,0
2022-08-26,Germany,Bundesliga,LEAGUE,2022/2023,SC Freiburg,VfL Bochum 1848,H,1,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,21,8,13,47,2,15,2,0,14,5,9,53,5,13,2,0
2022-08-27,Germany,Bundesliga,LEAGUE,2022/2023,TSG Hoffenheim,FC Augsburg,H,1,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,23,5,18,50,4,14,1,0,11,1,10,50,6,9,1,0
2022-08-27,Germany,Bundesliga,LEAGUE,2022/2023,Schalke 04,FC Union Berlin,A,1,6,A,1,3,N/A,N/A,N/A,N/A,N/A,N/A,15,5,10,59,8,9,1,0,12,7,5,41,2,10,0,0
2022-08-27,Germany,Bundesliga,LEAGUE,2022/2023,Hertha BSC,Borussia Dortmund,A,0,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,12,0,12,38,6,8,1,0,21,6,15,62,10,9,0,0
2022-08-27,Germany,Bundesliga,LEAGUE,2022/2023,FC Bayern München,Borussia Mönchengladbach,D,1,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,33,21,12,69,14,13,4,0,5,3,2,31,1,7,2,0
2022-08-27,Germany,Bundesliga,LEAGUE,2022/2023,RB Leipzig,VfL Wolfsburg,H,2,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,17,8,9,42,8,20,3,0,9,4,5,58,4,15,3,0
2022-08-27,Germany,Bundesliga,LEAGUE,2022/2023,FSV Mainz 05,Bayer 04 Leverkusen,A,0,3,A,0,3,N/A,N/A,N/A,N/A,N/A,N/A,16,4,12,61,3,10,1,0,9,5,4,39,4,12,6,2
2022-08-28,Germany,Bundesliga,LEAGUE,2022/2023,FC Köln,VfB Stuttgart,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,6,1,5,64,6,14,2,0,14,6,8,36,8,11,2,1
2022-08-28,Germany,Bundesliga,LEAGUE,2022/2023,Werder Bremen,Eintracht Frankfurt,A,3,4,A,2,3,N/A,N/A,N/A,N/A,N/A,N/A,11,5,6,55,5,17,1,0,13,7,6,45,7,18,3,0
2022-09-02,Germany,Bundesliga,LEAGUE,2022/2023,Borussia Dortmund,TSG Hoffenheim,H,1,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,11,4,7,50,5,14,3,0,3,1,2,50,8,15,4,0
2022-09-03,Germany,Bundesliga,LEAGUE,2022/2023,VfL Wolfsburg,FC Köln,A,2,4,A,1,3,N/A,N/A,N/A,N/A,N/A,N/A,10,3,7,50,5,13,2,0,21,6,15,50,4,14,1,0
2022-09-03,Germany,Bundesliga,LEAGUE,2022/2023,Eintracht Frankfurt,RB Leipzig,H,4,0,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,13,9,4,43,4,15,1,0,4,1,3,57,3,11,1,0
2022-09-03,Germany,Bundesliga,LEAGUE,2022/2023,FC Union Berlin,FC Bayern München,D,1,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,7,2,5,25,5,19,1,0,20,6,14,75,7,7,2,0
